word	ipa	rs	extra_consonants	ipa_derived_resp
allure	/əˈlʊɚ/	uh-LUUR	r	uh-LUUUR
alms	/ɑmz/	ahlmz	l	ahmz
amateur	/ˈæ.mə.t͡ʃɚ/	A-muh-tur	t	A-muh-chur
amphitheatre	/ˈæm.pəˌθi.(j)ə.tɚ/	AM-fuh-thee-AY-tur	f	AM-puh-thee-yuh-tur
Amis	/əˈmiː/	A-mis	s	uh-MEE
Amar	/ˈɑː.mɑː/	uh-MAHR	r	AH-mah
ancient	/ˈeɪn.ʃənt/	AYN-chuhnt	ch	AYN-shuhnt
antarctic	/ænˈtɑːktɪk/	an-TAHRK-tik	r	an-TAHKTIK
anthologist	/ænˈθɒl.ə.dʒɪst/	an-THAW-luh-gist	g	an-THAHL-uh-jist
angy	/ˈeɪŋ.ɡi/	AN-jee	n,ch	AYNG-gee
apartheid	/əˈpɑːtheɪt/	uh-PAHR-tyt	r,t	uh-PAHTHAYT
aphasia	/əˈfeɪzɪə/	uh-FAY-zhuh	sh	uh-FAYZEE-UH
apoptosis	/ˌæ.pəˈtoʊ.sɪs/	a-pawp-TOH-siz	p	a-puh-TOH-sis
artful	/ˈɑːtf(ʊ)l/	AHRT-fuhl	r	ahtfuul
artiodactyl	/ˌɑːtɪəʊˈdaktɪl/	ahr-tee-oh-DAK-tuhl	r	ahtee-uhuu-DAKTIL
argot	/ˈɑɹɡoʊ/	AHR-guht	t	ahrgoh
armchair	/ˈɑɹmt͡ʃɛɚ/	AHRM-chehr	r	ahrmchehur
armiger	/ˈɑːɹmɪd͡ʒɚ/	AHR-mi-gur	g	ahrmijur
arthropod	/ˈɑːθɹəpɒd/	AHRTH-ruh-pahd	r	ahthruhpahd
arbitrate	/ˈɑːbɪtɹeɪt/	AHR-buh-trayt	r	ahbitrayt
aren't	/ɑːnt/	AH-ruhnt	r	ahnt
articles	/ˈɑːtɪkəlz/	AHR-tuh-kuhlz	r	ahtikuhlz
Archie	/ˈɑːt͡ʃi/	AHR-chee	r	ahchee
asexual	/eɪˈsɛk.ʃu.əl/	ay-SEHKS-yoo-uhl	s	ay-SEHK-shoo-uhl
assiduous	/əˈsɪd͡ʒu.əs/	uh-SI-dwuhs	d,w	uh-SIJOO-uhs
associate	/əˈsoʊʃi.ət/	uh-SOH-see-uht	s	uh-SOHSHEE-uht
association	/əˌsoʊʃiˈeɪʃən/	uh-soh-see-AY-shuhn	s	uh-sohshee-AYSHUHN
assortment	/əˈsɔːtmənt/	uh-SAWRT-muhnt	r	uh-SAWTMUHNT
aspire	/əˈspaɪɚ/	uh-SPYR	r	uh-SPYUR
assuage	/əˈswɑʒ/	uh-SWAYJ	ch	uh-SWAHZH
aubergine	/ˈoʊ.bɚ.ʒin/	AW-bur-jeen	ch	OH-bur-zheen
authority	/əˈθɔɹədi/	uh-THAW-ruh-tee	t	uh-THAWRUHDEE
avant-garde	/æˈvɑ̃t.ɡɑːd/	uh-VAHNT-GAHRD	n,r	a-VAHT-gahd
aware	/əˈwɛɚ/	uh-WEHR	r	uh-WEHUR
awareness	/əˈwɛɚ.nəs/	uh-WEHR-nuhs	r	uh-WEHUR-nuhs
bare	/bɛɚ/	behr	r	behur
bach	/bæt͡ʃ/	bahk	k	bach
backyard	/bækˈjɑːd/	BA-kyahrd	r	bak-YAHD
baptist	/ˈbæbtɪst/	BAP-tuhst	p	babtist
barbette	/bɑːˈbɛt/	bahr-BEHT	r	bah-BEHT
bastion	/ˈbæsti.ən/	BAS-chuhn	ch	BASTEE-uhn
barre	/bɑː/	BEH-ree	r	bah
barney	/ˈbɑːni/	BAHR-nee	r	bahnee
bardo	/ˈbɑːdəʊ/	BAHR-doh	r	bahdoh
Baumgartner	/ˌbɔːmˈɡɑːt.nə/	BOWM-gahrt-nur	r	bawm-GAHT-nuh
Baumgardner	/ˌbɔːmˈɡɑːd.nə/	BOWM-gahrd-nur	r	bawm-GAHD-nuh
beery	/ˈbɪɚi/	BI-ree	r	biuree
beneficent	/bəˈnɛ.fə.sənt/	beh-nuh-FI-shuhnt	sh	buh-NEH-fuh-suhnt
beneficiary	/ˌbɛn.ɪˈfɪʃ.ɚ.i/	beh-nuh-FI-shee-eh-ree	r	behn-i-FISH-ur-ee
bear	/bɛɚ/	behr	r	behur
beautician	/bjuːˈtɪ(t)ʃən/	BYOO-ti-shuhn	sh	byoo-TICHUHN
beer	/ˈbɪɚ/	bir	r	biur
belvedere	/ˈbɛl.vəˌdɪɚ/	behl-vuh-DIR	r	BEHL-vuh-diur
benchmark	/ˈbɛn(t)ʃmɑːk/	BEHNCH-mahrk	r	behnchmahk
beret	/bəˈɹeɪ/	BEH-ruht	t	buh-RAY
bestiality	/ˈbistiˌælɪti/	behs-CHA-li-tee	ch	BEESTEE-alitee
beware	/biˈwɛɚ/	bi-WEHR	r	bee-WEHUR
Benoit	/bɛnˈwɑː/	buh-NOYT	t	behn-WAH
Beefs	/ˈbiːfə/	beefs	s	beefuh
bier	/bɪɚ/	beer	r	biur
billionaire	/ˌbɪl.jəˈnɛɚ/	bil-yuh-NEHR	r	bil-yuh-NEHUR
bivouac	/ˈbɪv.u.æk/	BIV-wak	w	BIV-oo-ak
bleary	/ˈblɪɚi/	BLI-ree	r	bliuree
blessed	/ˈblɛsɪd/	blehst	t	blehsid
blotched	/blɑt͡ʃt/	blahtcht	t	blahcht
blotch	/blɑt͡ʃ/	blahtch	t	blahch
blogosphere	/ˈblɒɡ.əʊˌsfɪɚ/	BLAW-guh-sfir	r	BLAHG-oh-sfiur
Blumenthal	/ˈbluːməntɑːl/	BLOO-muhn-thawl	th	bloomuhntahl
boatswain	/ˈboʊ.sən/	BOHT-swayn	t,w	BOH-suhn
bombardier	/ˌbɑm.bɚˈdɪɚ/	bahm-bur-DIR	r	bahm-bur-DIUR
bookstore	/ˈbʊkstɔː/	BUUK-stawr	r	buukstaw
borsch	/bɔːʃ/	bawrsh	r	bawsh
borscht	/bɔːʃt/	bawrsht	r	bawsht
bouillon	/ˈbʊlˌjɑn/	boo-WI-luhn	w	BUUL-yahn
bonjour	/bɒnˈʒʊə/	buhn-ZHUUR	r	bahn-ZHOO-UH
boulangerie	/buˈlɑ̃ʒɚˌɹi/	boo-LANG-gur-ee	ng,g	boo-LAHZHUR-ree
bork	/bɔːk/	bawrk	r	bawk
Borg	/bɔːɡ/	bawrg	r	bawg
boink	/bɔɪŋk/	boynk	n	boyngk
boudin	/buːˈdæ̃/	BOO-din	n	boo-DA
bondar	/ˈbɒndɑː/	buhn-DAHR	r	bahndah
bronchial	/ˈbɹɑːn.ki.əl/	BRAHN-chee-uhl	ch	BRAHN-kee-uhl
bracero	/bɹəˈsɪəɹəʊ/	brah-CHEH-roh	ch	bruh-SEE-UHROH
brazier	/ˈbɹeɪ.ʒɚ/	BRAY-zee-ur	s	BRAY-zhur
brigadier	/bɹɪɡəˈdɪɚ/	bri-guh-DIR	r	briguh-DIUR
brochure	/bɹoʊˈʃʊɚ/	broh-SHUUR	r	broh-SHUUUR
brighten	[ˈbɹaɪ̯ʔn̩]	BRY-tuhn	t	bryuhn
brodie	/bɹoʊdi/	BROH-tee	t	brohdee
Brodie	/ˈbɹoʊdi/	BROH-tee	t	brohdee
buccaneer	/ˌbʌkəˈnɪɚ/	buh-kuh-NEER	r	buhkuh-NIUR
buffet	/bəˈfeɪ/	BUH-fuht	t	buh-FAY
Buehrle	/ˈbɝli/	BYOO-ruhl	r	burlee
carefree	/ˈkɛɚfɹi/	KEHR-free	r	kehurfree
casual	/ˈkæʒ(u)əl/	KA-zhuh-wuhl	w	kazhoouhl
casually	/ˈkæʒuəli/	KA-zhuh-wuh-lee	w	kazhoouhlee
cavalierly	/kævəˈliːɚli/	ka-vuh-LIR-lee	r	kavuh-LEEURLEE
cardigan	/ˈkɑːdɪɡən/	KAHR-di-guhn	r	kahdiguhn
care	/kɛɚ/	kehr	r	kehur
carpentry	/ˈkɑː.pɪn.tri/	KAHR-puhn-tree	r	KAH-pin-tree
carport	/ˈkɑː(ɹ).pɔːt/	KAHR-pawrt	r	KAHR-pawt
carting	/ˈkɑːtɪŋ/	KAHR-ting	r	kahting
cashier	/kəˈʃɪə/	ka-SHIR	r	kuh-SHEE-UH
cassia	/ˈkæsiə/	KA-shee-uh	sh	kaseeuh
casualty	/ˈkæʒu.əlti/	KA-zhuh-wuhl-tee	w	KAZHOO-uhltee
catsup	/ˈkætsəp/	KEH-chuhp	ch	katsuhp
carn	/kɑːn/	kahrn	r	kahn
centenarian	/ˌsɛnəˈnɛɹiən/	sehn-tuh-NEH-ree-uhn	t	sehnuh-NEHREEUHN
cephalosporin	/kɛfələʊˈspɔəɹɪn/	seh-fuh-LAW-spaw-rin	s	kehfuhloh-SPAWUHRIN
cheery	/ˈt͡ʃɪɚi/	CHI-ree	r	chiuree
chichi	/ˈʃi.ʃi/	CHEE-chee	ch	SHEE-shee
chair	/t͡ʃɛɚ/	chehr	r	chehur
chalcedony	/kælˈsɛd.ə.ni/	CHAL-suh-doh-nee	ch	kal-SEHD-uh-nee
champaign	/ˈʃæmpeɪn/	cham-PAYN	ch	shampayn
chandelier	/ˌʃæn.dəˈlɪɚ/	shan-duh-LIR	r	shan-duh-LIUR
chasse	/ʃɑˈseɪ/	chas	ch	shah-SAY
chevalier	/ˌʃɛvəˈlɪɚ/	sheh-vuh-LIR	r	shehvuh-LIUR
chimera	/kaɪˈmɪɹə/	chi-MEH-ruh	ch	ky-MIRUH
cholla	/ˈt͡ʃɔɪ.ə/	CHAH-luh	l	CHOY-uh
chou	/ʃuː/	choo	ch	shoo
chutzpah	/ˈxʊts.pə/	CHUHT-spah	ch	KHUUTS-puh
chevy	/ˈt͡ʃɛvi/	SHEH-vee	sh	chehvee
cheers	/tʃɪəz/	chirz	r	chee-uhz
chausse	/ʃoʊs/	chows	ch	shohs
chok	/xoʊk/	chahk	ch	khohk
Champa	/ˈtʃæm.pə/	KAHM-puh	k	CHAM-puh
cicerone	/t͡ʃɪt͡ʃəˈɹəʊni/	SI-sur-ohn	s	chichuh-ROHNEE
circumvention	/ˌsɜː(ɹ)kəmˈvɛnʃən/	sur-kuhm-VEHN-chuhn	ch	surrkuhm-VEHNSHUHN
Cilicia	/sɪˈlɪsɪə/	si-LI-shuh	sh	si-LISEE-UH
clear	/ˈklɪɚ/	klir	r	kliur
clearly	/ˈklɪɚli/	KLIR-lee	r	kliurlee
clearance	/ˈklɪɚ.əns/	KLI-ruhns	r	KLIUR-uhns
Claire	/ˈklɛə/	klehr	r	klehuh
compartmental	/kɒmpɑːtˈmɛntəl/	kuhm-pahrt-MEHN-tuhl	r	kahmpaht-MEHNTUHL
concurrent	/kəŋˈkɝɹənt/	kuhn-KUR-uhnt	n	kuhng-KURRUHNT
consensual	/kənˈsɛnʃuəl/	kuhn-SEHN-soo-uhl	s	kuhn-SEHNSHOOUHL
constituent	/kənˈstɪtjuənt/	kuhn-STI-choo-uhnt	ch	kuhn-STITYOOUHNT
constitutive	/kənˈstɪt͡ʃuˌtɪv/	kahn-STI-too-tiv	t	kuhn-STICHOO-tiv
cordial	/ˈkɔɹ.di.əl/	KAWR-juhl	ch	KAWR-dee-uhl
constantly	/ˈkɑnstənʔli/	KAHN-stuhnt-lee	t	kahnstuhnlee
contemptuously	/kənˈtɛmp.t͡ʃu.əs.li/	kuhn-TEHMPCH-wuh-slee	w	kuhn-TEHMP-choo-uhs-lee
collagen	/ˈkɒləd͡ʒən/	KAH-luh-guhn	g	kahluhjuhn
compare	/kəmˈpɛɚ/	kuhm-PEHR	r	kuhm-PEHUR
concavity	/kəŋˈkævɪti/	kahn-KAH-vuh-tee	n	kuhng-KAVITEE
concha	/ˈkɑŋ.kə/	KAHN-chuh	n,ch	KAHNG-kuh
concourse	/ˈkɒŋkɔː(ɹ)s/	KAHN-kawrs	n	kahngkawrs
concubine	/ˈkɑŋkjəbaɪn/	KAHN-kyuh-byn	n	kahngkyuhbyn
concussion	/kəŋkˈəʃɪn/	kuhn-KUH-shuhn	n	kuhngk-UHSHIN
conformance	/kənˈfɔːm(ə)ns/	kuhn-FAWR-muhns	r	kuhn-FAWMUHNS
congeries	/ˈkɑːnd͡ʒəɹiːz/	KAWNG-juh-reez	ng	kahnjuhreez
conquest	/ˈkɑnkwɛst/	KAHNG-kwehst	ng	kahnkwehst
contour	/ˈkɒntɔː/	KAHN-tuur	r	kahntaw
contrast	/kənˈt(ʃ)ɹæst/	KAHN-trast	t	kuhn-CHRAST
contretemps	/ˈkɑːn.tɹə.tɑ̃/	KAHN-truh-tehmps	m,p,s	KAHN-truh-tah
corbel	/ˈkɔːbəl/	KAWR-buhl	r	kawbuhl
cordage	/ˈkɔːdɪdʒ/	KAWR-duhj	r	kawdij
cornel	/ˈkɔːnəl/	KAWR-nuhl	r	kawnuhl
counting	/ˈkaʊ.nɪŋ/	KOWN-ting	t	KOW-ning
courser	/ˈkɜːsə/	KAWR-sur	r	kursuh
courtship	/ˈkɔɹt.ʃɪp/	KAWR-chip	ch	KAWRT-ship
cohere	/koʊˈhɪɚ/	koh-HIR	r	koh-HIUR
concur	/kəŋˈkɝ/	kuhn-KUR	n	kuhng-KUR
crooked	/kɹʊkt/	KRUU-kuhd	d	kruukt
croissant	/kɹəˈsɑnt/	kwah-SAHNT	w	kruh-SAHNT
cursed	/ˈkɝsɪd/	kurst	t	kursid
cynosure	/ˈsaɪnəʃʊɹ/	SY-naw-sur	s	synuhshuur
daredevil	/ˈdɛədɛvəl/	DEHR-deh-vuhl	r	dehuhdehvuhl
daring	/ˈdɛɚ.ɪŋ/	DEH-ring	r	DEHUR-ing
darned	/dɑːnd/	dahrnd	r	dahnd
dachshund	/ˈdɑksˌhʊnt/	DAHKS-huund	d	DAHKS-huunt
dale	/deu/	dayl	l	dehoo
darnel	/ˈdɑːnəɫ/	DAHR-nuhl	r	dahnuhl
darts	/ˈdɑːts/	dahrts	r	dahts
dauphin	/doʊˈfæ̃/	DOW-fin	n	doh-FA
Darlington	/ˈdɑːlɪŋtən/	DAHR-ling-tuhn	r	dahlingtuhn
Dacia	/ˈdeɪsɪə/	DAY-shee-uh	sh	daysee-uh
deferential	[ˌdɛfəˈɹɛnʃəɫ]	deh-fur-EHN-chuhl	ch	dehfuh-REHNSHUHL
deformed	/dɪˈfɔːmd/	di-FAWRMD	r	di-FAWMD
deterrent	/dɪˈtɝənt/	di-TUR-ruhnt	r	di-TURUHNT
deliciously	/dəˈlɪ.ʃəs.li/	di-LI-shuhsh-lee	sh	duh-LI-shuhs-lee
deary	/ˈdɪɚi/	DI-ree	r	diuree
debenture	/dɪˈbɛntjʊə/	duh-BEHN-chur	ch	di-BEHNTYOO-UH
deformation	/ˌdɛfɚˈmeɪʃn̩/	dee-fawr-MAY-shuhn	r	dehfur-MAYSHUHN
demagogy	/ˈdɛməˌɡɑɡi/	DEH-muh-gah-jee	ch	DEHMUH-gahgee
demodulation	/dɪˌmɒdʃəˈleɪʃən/	dee-mah-juh-LAY-shuhn	ch	di-mahdshuh-LAYSHUHN
departure	/dɪˈpɑː(ɹ)tjə(ɹ)/	di-PAHR-chur	ch	di-PAHRTYUHR
deportation	/diːˌpɔːˈteɪʃən/	dee-pawr-TAY-shuhn	r	dee-paw-TAYSHUHN
deportee	/dɪˌpɔːˈti/	dee-pawr-TEE	r	di-paw-TEE
despair	/dɪˈspɛɚ/	di-SPEHR	r	di-SPEHUR
dew	/d͡ʒuː/	doo	d	joo
declare	/dɪˈklɛɚ/	di-KLEHR	r	di-KLEHUR
demodulate	/dɪˈmɒdʃəleɪt/	dee-mah-juh-LAYT	ch	di-MAHDSHUHLAYT
denature	/diːˈneɪtjə(ɹ)/	di-NAY-chur	ch	dee-NAYTYUHR
decima	/ˈdɛsɪmə/	di-CHEE-muh	ch	dehsimuh
Delage	/də.laʒ/	DEH-lij	ch	duh-lazh
Desrochers	/dəˈɹoʊˌʃeɪ/	day-ROH-shurz	s	duh-ROH-shay
Delgiudice	/dɛlˈdʒuːdɪtʃeɪ/	dehl-JOO-duhs	s	dehl-JOODICHAY
disappointed	/ˌdɪsəˈpɔɪnɪd/	di-suh-POYN-tid	t	disuh-POYNID
disinclined	/dɪs.ɪŋˈklaɪnd/	di-sin-KLYND	n	dis-ing-KLYND
disorderly	/dɪsˈɔː.də.li/	di-SAWR-dur-lee	r	dis-AW-duh-lee
disorganized	/dɪsˈɔːɡənaɪzd/	di-SAWR-guh-nyzd	r	dis-AWGUHNYZD
diameter	/daɪˈæmɪdɚ/	dy-A-muh-tur	t	dy-AMIDUR
dijon	/ˈdiː(d)ʒɒn/	DEE-zhahn	sh	deejahn
dimorphism	/daɪˈmɔːfɪzəm/	dy-MAWR-fi-zuhm	r	dy-MAWFIZUHM
diphthong	/ˈdɪpˌθɔŋ/	DIF-thawng	f	DIP-thawng
disbarment	/dɪsˈbɑːmənt/	dis-BAHR-muhnt	r	dis-BAHMUHNT
disinclination	/ˌdɪsɪŋklɪˈneɪʃən/	di-sin-kluh-NAY-shuhn	n	disingkli-NAYSHUHN
disintegration	/dɪsˌɪnd.əˈɡɹeɪ.ʃən/	di-sin-tuh-GRAY-shuhn	t	dis-ind-uh-GRAY-shuhn
disrepair	/ˌdɪs.ɹɪˈpɛɚ/	dis-ri-PEHR	r	dis-ri-PEHUR
distortion	/dɪsˈtɔːʃən/	di-STAWR-shuhn	r	dis-TAWSHUHN
disgorge	/dɪsˈɡɔːdʒ/	dis-GAWRJ	r	dis-GAWJ
dissociate	/dɪˈsoʊ.ʃi.eɪt/	di-SOH-see-ayt	s	di-SOH-shee-ayt
disappeared	/dɪsəˈpɪəd/	di-suh-PIRD	r	disuh-PEE-UHD
Dniester	/ˈniːstəɹ/	DNEE-stur	d	neestuhr
doer	/ˈdu.ɚ/	door	r	DOO-ur
dower	[ˈdaw.ɚ]	dowr	r	DAW-ur
dorf	/ˈdɔːf/	dawrf	r	dawf
dreary	/ˈdɹɪɚi/	DRI-ree	r	driuree
duce	/ˈduːtʃeɪ/	doos	s	doochay
ductility	/dʌkˈtɪlɪdi/	duhk-TI-luh-tee	t	duhk-TILIDEE
duke	/dʒuːk/	dook	d	jook
dumbass	/ˈdʌm.æs/	DUHM-bas	b	DUHM-as
dumbledore	/ˈdʌm.bəl.dɔː/	DUHM-buhl-dawr	r	DUHM-buhl-daw
Dunkel	/ˈdʌn.kəl/	DUHNG-kuhl	ng	DUHN-kuhl
Dziuba	/ˈdzjuːbə/	jee-OO-buh	ch	dzyoobuh
ear	/ˈɪɚ/	eer	r	iur
earmuff	/ˈɪəmʌfs/	IR-muhf	r	ee-uhmuhfs
earthenware	/ˈəːθ(ə)nwɛː/	UR-thuhn-wehr	r	uhthuhnweh
echinacea	/ˌɛkɪˈneɪʃə/	eh-chuh-NAY-see-uh	ch,s	ehki-NAYSHUH
eczema	/ɪɡˈzi.mə/	EHK-suh-muh	k	ig-ZEE-muh
eerie	/ˈɪɚi/	I-ree	r	iuree
elevated	/ˈɛl.əˌveɪ.dɪd/	EH-luh-vay-tid	t	EHL-uh-vay-did
emaciated	/ɪˈmeɪ.siˌeɪ.tɪd/	i-MAY-shee-ay-tid	sh	i-MAY-see-ay-tid
encompassing	/ɪŋˈkʌmpəsɪŋ/	ehn-KUHM-puh-sing	n	ing-KUHMPUHSING
encouraged	/ɪŋˈkɝɪd͡ʒd/	ehn-KUR-ijd	n	ing-KURIJD
enduring	/ɪnˈd(j)ʊɚ.ɪŋ/	ehnd-YUU-ring	r	in-DYUUUR-ing
environmental	/ənˌvaɪ.ɚnˈmɛn.təl/	in-vy-ruhn-MEHN-tuhl	r	uhn-vy-urn-MEHN-tuhl
encroachment	/ɪŋˈkɹoʊt͡ʃmənt/	ehn-KROHCH-muhnt	n	ing-KROHCHMUHNT
enforcer	/ɪnˈfɔːsə/	ehn-FAWR-sur	r	in-FAWSUH
environment	/ɪnˈvaɪ.ɚn.mənt/	in-VY-ruhn-muhnt	r	in-VY-urn-muhnt
encase	/ɪŋˈkeɪs/	ehn-KAYS	n	ing-KAYS
encroach	/ɪŋˈkɹəʊtʃ/	in-KROHCH	n	ing-KROHCH
encrust	/ɪŋˈkɹʌst/	ehn-KRUHST	n	ing-KRUHST
endear	/ɪnˈdɪɚ/	ehn-DEER	r	in-DIUR
epexegesis	/ˌɛpˌɛksɪˈdʒisɪs/	EP-ek-sih-JEE-sis	h	ehp-ehksi-JEESIS
err	/ɛɚ/	ehr	r	ehur
ere	/ɛə/	ehr	r	ehuh
esophageal	/ɪˌsɒfəˈd͡ʒiːəl/	i-sah-fuh-GEE-uhl	g	i-sahfuh-JEEUHL
espionage	/ˈɛs.pi.əˌnɑːʒ/	EH-spee-uh-nahj	ch	EHS-pee-uh-nahzh
esquire	/ˈɛskwaɪɚ/	EH-skwyr	r	ehskwyur
ethereal	/ɪˈθɪɚ.i.əl/	i-THI-ree-uhl	r	i-THIUR-ee-uhl
eventually	/ɪˈvɛn.t͡ʃu.ə.li/	i-VEHN-chuh-wuh-lee	w	i-VEHN-choo-uh-lee
evacuation	/ɪˌvækjuˈeɪʃən/	i-va-kyuh-WAY-shuhn	w	i-vakyoo-AYSHUHN
eventuality	/ɪˌvɛntjuˈælɪti/	uh-vehn-choo-A-li-tee	ch	i-vehntyoo-ALITEE
execrable	/ˈɛksɪkɹəbl/	ehg-ZEH-kruh-buhl	g	ehksikruhbl
existential	/ˌɛɡzɪˈstɛn(t)ʃəl/	ehg-zi-STEHN-shuhl	sh	ehgzi-STEHNCHUHL
exponential	/ˌɛk.spəˈnɛn.t͡ʃəl/	ehk-spoh-NEHN-shuhl	sh	ehk-spuh-NEHN-chuhl
exceptionally	/ɪkˈsɛp(t)ʃənəli/	ik-SEHP-shuh-nuh-lee	sh	ik-SEHPCHUHNUHLEE
excruciatingly	/ɛkˈskɹuːʃiːeɪtɪŋli/	ehk-SKROO-see-ay-ting-lee	s	ehk-SKROOSHEEAYTINGLEE
excerpt	/ˈɛɡzɝ(p)t/	EHK-surpt	k	ehgzurpt
exhortation	/ˌɛɡzɔːˈteɪʃən/	ehg-zawr-TAY-shuhn	r	ehgzaw-TAYSHUHN
exigency	/ˈɛɡzəd͡ʒənsi/	ehk-SI-juhn-see	k	ehgzuhjuhnsee
exhume	/ɛkˈs(j)um/	ehksh-YOOM	sh	ehk-SYOOM
exegetics	/ˌɛksɪˈdʒɛtɪks/	ek-sih-JET-iks	h	ehksi-JEHTIKS
fair	/ˈfɛɚ/	fehr	r	fehur
fatuous	/ˈfæ.tʃu.əs/	FA-chuh-wuhs	w	FA-choo-uhs
faux	/foʊ/	fawks	k,s	foh
fairness	/ˈfɛɚ.nəs/	FEHR-nuhs	r	FEHUR-nuhs
fantasia	/fænˈteɪ.zi.ə/	fan-TAY-zhuh	sh	fan-TAY-zee-uh
fantasy	[ˈfæ̃ɾ̃əsi]	FAN-tuh-see	n	fatuhsee
fare	/ˈfɛɚ/	fehr	r	fehur
farmhouse	/ˈfɑːmhaus/	FAHRM-hows	r	fahmhaoos
fairs	/fɛəz/	fehrz	r	fehuhz
fear	/ˈfɪɚ/	fir	r	fiur
feis	/fɛʃ/	fys	s	fehsh
financier	/f(a)ɪnænˈsɪɚ/	fi-nuhn-SIR	r	fynan-SIUR
firefighter	/ˈfaɪ.ɚˌfaɪ.tɚ/	FYR-fy-tur	r	FY-ur-fy-tur
firework	/ˈfaɪɚˌwɚk/	FYR-wurk	r	FYUR-wurk
firing	/ˈfaɪ.ɚ.ɪŋ/	FY-ring	r	FY-ur-ing
flageolet	/ˈflæʒəleɪ/	fla-juh-LEHT	ch,t	flazhuhlay
flair	/flɛɚ̯/	flehr	r	flehur
flare	/flɛɚ̯/	flehr	r	flehur
fleer	/flɪɚ/	flir	r	fliur
fluoride	/ˈflʊɚˌaɪd/	FLUU-ryd	r	FLUUUR-yd
fluorite	/ˈflʊɚˌaɪt/	FLUU-ryt	r	FLUUUR-yt
fluctuate	/ˈflʌkt͡ʃu.eɪt/	FLUHK-chuh-wayt	w	FLUHKCHOO-ayt
forbidden	/fɚˈbɪdən/	FAWR-bi-duhn	r	fur-BIDUHN
foremost	/ˈfɔː.məʊst/	FAWR-mohst	r	FAW-mohst
forged	/fɔːd͡ʒd/	fawrjd	r	fawjd
fortuitous	/foɹˈt͡ʃu.ɪ.tɪs/	fawr-TOO-i-tuhs	t	fohr-CHOO-i-tis
foursquare	/ˈfɔːskwɛː/	FAWR-SKWEHR	r	fawskweh
forcibly	/ˈfɔːsəbli/	FAWR-suh-blee	r	fawsuhblee
forearm	/ˈfɔːˌɹɑːm/	faw-RAHRM	r	FAW-rahm
forebear	/ˈfɔɹˌbɛɚ/	FAWR-behr	r	FAWR-behur
fortitude	/ˈfɔːtɪtjuːd/	FAWR-ti-tood	r	fawtityood
forebode	/fɔːˈbəʊd/	fawr-BOHD	r	faw-BOHD
foreshadow	/fɔːˈʃædəʊ/	fawr-SHA-doh	r	faw-SHADOH
for	/fɔː/	fawr	r	faw
forma	/ˈfɔː.mə/	FAWR-muh	r	FAW-muh
fraudulent	/ˈfɹɔː.djʊ.lənt/	FRAW-juh-luhnt	ch	FRAW-dyuu-luhnt
Francia	/ˈfɹɑːn.sɪ.ə/	FRAHN-chuh	ch	FRAHN-si-uh
Francesca	/fɹænˈsɛskə/	fran-CHEH-skuh	ch	fran-SEHSKUH
