type	derived	base	relation
ation->ate	graduation	graduate	act of
ation->ate	granulation	granulate	act of
ation->ate	gravitation	gravitate	act of
ation->ate	gyration	gyrate	act of
ation->ate	habituation	habituate	act of
ation->ate	haemagglutination	haemagglutinate	act of
ation->ate	hallucination	hallucinate	act of
ation->ate	hemagglutination	hemagglutinate	act of
ation->ate	hesitation	hesitate	act of
ation->ate	hibernation	hibernate	act of
ation->ate	horripilation	horripilate	act of
ation->ate	humiliation	humiliate	act of
ation->ate	hydration	hydrate	act of
ation->ate	hydrogenation	hydrogenate	act of
ation->ate	hyperventilation	hyperventilate	act of
ation->ate	hyphenation	hyphenate	act of
ation->ate	ideation	ideate	act of
ation->ate	illumination	illuminate	act of
ation->ate	illustration	illustrate	act of
ation->ate	imbrication	imbricate	act of
ation->ate	imitation	imitate	act of
ation->ate	immigration	immigrate	act of
ation->ate	immoderation	immoderate	act of
ation->ate	immolation	immolate	act of
ation->ate	impersonation	impersonate	act of
ation->ate	implication	implicate	act of
ation->ate	imprecation	imprecate	act of
ation->ate	impregnation	impregnate	act of
ation->ate	inactivation	inactivate	act of
ation->ate	inauguration	inaugurate	act of
ation->ate	incarceration	incarcerate	act of
ation->ate	incarnation	incarnate	act of
ation->ate	incineration	incinerate	act of
ation->ate	inconsideration	inconsiderate	act of
ation->ate	incorporation	incorporate	act of
ation->ate	incrimination	incriminate	act of
ation->ate	incubation	incubate	act of
ation->ate	inculcation	inculcate	act of
ation->ate	inculpation	inculpate	act of
ation->ate	incurvation	incurvate	act of
ation->ate	indetermination	indeterminate	act of
ation->ate	indication	indicate	act of
ation->ate	individuation	individuate	act of
ation->ate	indoctrination	indoctrinate	act of
ation->ate	induration	indurate	act of
ation->ate	inebriation	inebriate	act of
ation->ate	infatuation	infatuate	act of
ation->ate	infiltration	infiltrate	act of
ation->ate	inflation	inflate	act of
ation->ate	infuriation	infuriate	act of
ation->ate	ingratiation	ingratiate	act of
ation->ate	initiation	initiate	act of
ation->ate	innervation	innervate	act of
ation->ate	innovation	innovate	act of
ation->ate	inoculation	inoculate	act of
ation->ate	inosculation	inosculate	act of
ation->ate	insemination	inseminate	act of
ation->ate	insinuation	insinuate	act of
ation->ate	insolation	insolate	act of
ation->ate	inspissation	inspissate	act of
ation->ate	instantiation	instantiate	act of
ation->ate	instigation	instigate	act of
ation->ate	instrumentation	instrumentate	act of
ation->ate	insubordination	insubordinate	act of
ation->ate	insufflation	insufflate	act of
ation->ate	insulation	insulate	act of
ation->ate	integration	integrate	act of
ation->ate	intercalation	intercalate	act of
ation->ate	intercommunication	intercommunicate	act of
ation->ate	intermediation	intermediate	act of
ation->ate	interpellation	interpellate	act of
ation->ate	interpenetration	interpenetrate	act of
ation->ate	interpolation	interpolate	act of
ation->ate	interrelation	interrelate	act of
ation->ate	interrogation	interrogate	act of
ation->ate	intimation	intimate	act of
ation->ate	intimidation	intimidate	act of
ation->ate	intonation	intonate	act of
ation->ate	intoxication	intoxicate	act of
ation->ate	intubation	intubate	act of
ation->ate	inundation	inundate	act of
ation->ate	invagination	invaginate	act of
ation->ate	invalidation	invalidate	act of
ation->ate	investigation	investigate	act of
ation->ate	invigilation	invigilate	act of
ation->ate	invigoration	invigorate	act of
ation->ate	iodination	iodinate	act of
ation->ate	irradiation	irradiate	act of
ation->ate	irrigation	irrigate	act of
ation->ate	irritation	irritate	act of
ation->ate	isolation	isolate	act of
ation->ate	iteration	iterate	act of
ation->ate	itineration	itinerate	act of
ation->ate	jactitation	jactitate	act of
ation->ate	jubilation	jubilate	act of
ation->ate	laceration	lacerate	act of
ation->ate	lactation	lactate	act of
ation->ate	lamination	laminate	act of
ation->ate	lapidation	lapidate	act of
ation->ate	legation	legate	act of
ation->ate	legislation	legislate	act of
ation->ate	legitimation	legitimate	act of
ation->ate	levitation	levitate	act of
ation->ate	liberation	liberate	act of
ation->ate	libration	librate	act of
ation->ate	ligation	ligate	act of
ation->ate	liquidation	liquidate	act of
ation->ate	litigation	litigate	act of
ation->ate	location	locate	act of
ation->ate	lubrication	lubricate	act of
ation->ate	lucubration	lucubrate	act of
ation->ate	lunation	lunate	act of
ation->ate	luxation	luxate	act of
ation->ate	luxuriation	luxuriate	act of
ation->ate	maceration	macerate	act of
ation->ate	machicolation	machicolate	act of
ation->ate	machination	machinate	act of
ation->ate	maculation	maculate	act of
ation->ate	malversation	malversate	act of
ation->ate	manipulation	manipulate	act of
ation->ate	mastication	masticate	act of
ation->ate	masturbation	masturbate	act of
ation->ate	matriculation	matriculate	act of
ation->ate	maturation	maturate	act of
ation->ate	mediation	mediate	act of
ation->ate	medication	medicate	act of
ation->ate	meditation	meditate	act of
ation->ate	melioration	meliorate	act of
ation->ate	menstruation	menstruate	act of
ation->ate	mensuration	mensurate	act of
ation->ate	metrication	metricate	act of
ation->ate	migration	migrate	act of
ation->ate	misappropriation	misappropriate	act of
ation->ate	miscalculation	miscalculate	act of
ation->ate	miscegenation	miscegenate	act of
ation->ate	miscreation	miscreate	act of
ation->ate	misestimation	misestimate	act of
ation->ate	mistranslation	mistranslate	act of
ation->ate	mitigation	mitigate	act of
ation->ate	moderation	moderate	act of
ation->ate	modulation	modulate	act of
ation->ate	motivation	motivate	act of
ation->ate	mussitation	mussitate	act of
ation->ate	mutation	mutate	act of
ation->ate	mutilation	mutilate	act of
ation->ate	narration	narrate	act of
ation->ate	navigation	navigate	act of
ation->ate	negation	negate	act of
ation->ate	negotiation	negotiate	act of
ation->ate	nictation	nictate	act of
ation->ate	nictitation	nictitate	act of
ation->ate	nomination	nominate	act of
ation->ate	notation	notate	act of
ation->ate	novation	novate	act of
ation->ate	numeration	numerate	act of
ation->ate	nutation	nutate	act of
ation->ate	obfuscation	obfuscate	act of
ation->ate	objurgation	objurgate	act of
ation->ate	oblation	oblate	act of
ation->ate	obligation	obligate	act of
ation->ate	obliteration	obliterate	act of
ation->ate	obstipation	obstipate	act of
ation->ate	obviation	obviate	act of
ation->ate	officiation	officiate	act of
ation->ate	operation	operate	act of
ation->ate	orchestration	orchestrate	act of
ation->ate	ordination	ordinate	act of
ation->ate	orientation	orientate	act of
ation->ate	origination	originate	act of
ation->ate	oscillation	oscillate	act of
ation->ate	osculation	osculate	act of
ation->ate	ostentation	ostentate	act of
ation->ate	overcompensation	overcompensate	act of
ation->ate	overestimation	overestimate	act of
ation->ate	overpopulation	overpopulate	act of
ation->ate	ovulation	ovulate	act of
ation->ate	oxidation	oxidate	act of
ation->ate	oxygenation	oxygenate	act of
ation->ate	pagination	paginate	act of
ation->ate	palliation	palliate	act of
ation->ate	palpation	palpate	act of
ation->ate	palpebration	palpebrate	act of
ation->ate	palpitation	palpitate	act of
ation->ate	participation	participate	act of
ation->ate	peculation	peculate	act of
ation->ate	penetration	penetrate	act of
ation->ate	perambulation	perambulate	act of
ation->ate	percolation	percolate	act of
ation->ate	peregrination	peregrinate	act of
ation->ate	perennation	perennate	act of
ation->ate	perforation	perforate	act of
ation->ate	permeation	permeate	act of
ation->ate	peroration	perorate	act of
ation->ate	perpetration	perpetrate	act of
ation->ate	perpetuation	perpetuate	act of
ation->ate	perseveration	perseverate	act of
ation->ate	personation	personate	act of
ation->ate	pervaporation	pervaporate	act of
ation->ate	phonation	phonate	act of
ation->ate	placation	placate	act of
ation->ate	planation	planate	act of
ation->ate	plastination	plastinate	act of
ation->ate	plication	plicate	act of
ation->ate	pollenation	pollenate	act of
ation->ate	pollination	pollinate	act of
ation->ate	population	populate	act of
ation->ate	postulation	postulate	act of
ation->ate	potentiation	potentiate	act of
ation->ate	precipitation	precipitate	act of
ation->ate	predation	predate	act of
ation->ate	predestination	predestinate	act of
ation->ate	predication	predicate	act of
ation->ate	predomination	predominate	act of
ation->ate	prefabrication	prefabricate	act of
ation->ate	premeditation	premeditate	act of
ation->ate	prevarication	prevaricate	act of
ation->ate	privation	private	act of
ation->ate	probation	probate	act of
ation->ate	procrastination	procrastinate	act of
ation->ate	procreation	procreate	act of
ation->ate	prognostication	prognosticate	act of
ation->ate	proliferation	proliferate	act of
ation->ate	promulgation	promulgate	act of
ation->ate	pronation	pronate	act of
ation->ate	propagation	propagate	act of
ation->ate	propitiation	propitiate	act of
ation->ate	proration	prorate	act of
ation->ate	prostration	prostrate	act of
ation->ate	pullulation	pullulate	act of
ation->ate	pulsation	pulsate	act of
ation->ate	punctuation	punctuate	act of
ation->ate	radiation	radiate	act of
ation->ate	radiolocation	radiolocate	act of
ation->ate	ratiocination	ratiocinate	act of
ation->ate	reallocation	reallocate	act of
ation->ate	recalculation	recalculate	act of
ation->ate	recapitulation	recapitulate	act of
ation->ate	reciprocation	reciprocate	act of
ation->ate	recreation	recreate	act of
ation->ate	recrimination	recriminate	act of
ation->ate	recuperation	recuperate	act of
ation->ate	rededication	rededicate	act of
ation->ate	reduplication	reduplicate	act of
ation->ate	reevaluation	reevaluate	act of
ation->ate	reflation	reflate	act of
ation->ate	refrigeration	refrigerate	act of
ation->ate	regeneration	regenerate	act of
ation->ate	regulation	regulate	act of
ation->ate	regurgitation	regurgitate	act of
ation->ate	rehabilitation	rehabilitate	act of
ation->ate	reincarnation	reincarnate	act of
ation->ate	reiteration	reiterate	act of
ation->ate	rejuvenation	rejuvenate	act of
ation->ate	relation	relate	act of
ation->ate	relegation	relegate	act of
ation->ate	relocation	relocate	act of
ation->ate	remediation	remediate	act of
ation->ate	remonstration	remonstrate	act of
ation->ate	remuneration	remunerate	act of
ation->ate	renovation	renovate	act of
ation->ate	reorientation	reorientate	act of
ation->ate	repatriation	repatriate	act of
ation->ate	replication	replicate	act of
ation->ate	reprobation	reprobate	act of
ation->ate	repudiation	repudiate	act of
ation->ate	resuscitation	resuscitate	act of
ation->ate	retaliation	retaliate	act of
ation->ate	reticulation	reticulate	act of
ation->ate	reverberation	reverberate	act of
ation->ate	rotation	rotate	act of
ation->ate	rumination	ruminate	act of
ation->ate	rustication	rusticate	act of
ation->ate	salivation	salivate	act of
ation->ate	saltation	saltate	act of
ation->ate	sanitation	sanitate	act of
ation->ate	satiation	satiate	act of
ation->ate	saturation	saturate	act of
ation->ate	scintillation	scintillate	act of
ation->ate	sedation	sedate	act of
ation->ate	segregation	segregate	act of
ation->ate	sensation	sensate	act of
ation->ate	separation	separate	act of
ation->ate	septation	septate	act of
ation->ate	sequestration	sequestrate	act of
ation->ate	serration	serrate	act of
ation->ate	sibilation	sibilate	act of
ation->ate	simulation	simulate	act of
ation->ate	situation	situate	act of
ation->ate	solmization	solmizate	act of
ation->ate	solvation	solvate	act of
ation->ate	somnambulation	somnambulate	act of
ation->ate	sophistication	sophisticate	act of
ation->ate	speciation	speciate	act of
ation->ate	speculation	speculate	act of
ation->ate	sporulation	sporulate	act of
ation->ate	stagnation	stagnate	act of
ation->ate	stimulation	stimulate	act of
ation->ate	stipulation	stipulate	act of
ation->ate	strangulation	strangulate	act of
ation->ate	striation	striate	act of
ation->ate	stridulation	stridulate	act of
ation->ate	subjugation	subjugate	act of
ation->ate	sublimation	sublimate	act of
ation->ate	subluxation	subluxate	act of
ation->ate	subordination	subordinate	act of
ation->ate	subrogation	subrogate	act of
ation->ate	substantiation	substantiate	act of
ation->ate	sudation	sudate	act of
ation->ate	suffocation	suffocate	act of
ation->ate	summation	summate	act of
ation->ate	superannuation	superannuate	act of
ation->ate	superfetation	superfetate	act of
ation->ate	superordination	superordinate	act of
ation->ate	supination	supinate	act of
ation->ate	supplication	supplicate	act of
ation->ate	suppuration	suppurate	act of
ation->ate	susurration	susurrate	act of
ation->ate	syllabication	syllabicate	act of
ation->ate	syncopation	syncopate	act of
ation->ate	syndication	syndicate	act of
ation->ate	tabulation	tabulate	act of
ation->ate	telecommunication	telecommunicate	act of
ation->ate	tergiversation	tergiversate	act of
ation->ate	termination	terminate	act of
ation->ate	tessellation	tessellate	act of
ation->ate	tintinnabulation	tintinnabulate	act of
ation->ate	titillation	titillate	act of
ation->ate	titivation	titivate	act of
ation->ate	titration	titrate	act of
ation->ate	tittivation	tittivate	act of
ation->ate	toleration	tolerate	act of
ation->ate	transamination	transaminate	act of
ation->ate	translation	translate	act of
ation->ate	transliteration	transliterate	act of
ation->ate	translocation	translocate	act of
ation->ate	transmigration	transmigrate	act of
ation->ate	transpiration	transpirate	act of
ation->ate	transubstantiation	transubstantiate	act of
ation->ate	transudation	transudate	act of
ation->ate	triangulation	triangulate	act of
ation->ate	tribulation	tribulate	act of
ation->ate	trifurcation	trifurcate	act of
ation->ate	truncation	truncate	act of
ation->ate	ulceration	ulcerate	act of
ation->ate	ululation	ululate	act of
ation->ate	underestimation	underestimate	act of
ation->ate	undulation	undulate	act of
ation->ate	urination	urinate	act of
ation->ate	urtication	urticate	act of
ation->ate	vacation	vacate	act of
ation->ate	vaccination	vaccinate	act of
ation->ate	vacillation	vacillate	act of
ation->ate	vacuolation	vacuolate	act of
ation->ate	validation	validate	act of
ation->ate	valuation	valuate	act of
ation->ate	variation	variate	act of
ation->ate	variegation	variegate	act of
ation->ate	vaticination	vaticinate	act of
ation->ate	vegetation	vegetate	act of
ation->ate	vellication	vellicate	act of
ation->ate	veneration	venerate	act of
ation->ate	ventilation	ventilate	act of
ation->ate	vermiculation	vermiculate	act of
ation->ate	vesication	vesicate	act of
ation->ate	vesiculation	vesiculate	act of
ation->ate	vibration	vibrate	act of
ation->ate	vindication	vindicate	act of
ation->ate	violation	violate	act of
ation->ate	vitiation	vitiate	act of
ation->ate	vituperation	vituperate	act of
ation->ate	vociferation	vociferate	act of
crat->cracy	aristocrat	aristocracy	advocate of
crat->cracy	autocrat	autocracy	advocate of
crat->cracy	bureaucrat	bureaucracy	advocate of
crat->cracy	democrat	democracy	advocate of
crat->cracy	plutocrat	plutocracy	advocate of
crat->cracy	technocrat	technocracy	advocate of
cratic->cracy	aristocratic	aristocracy	relating to
cratic->cracy	autocratic	autocracy	relating to
cratic->cracy	bureaucratic	bureaucracy	relating to
cratic->cracy	democratic	democracy	relating to
cratic->cracy	meritocratic	meritocracy	relating to
cratic->cracy	plutocratic	plutocracy	relating to
cratic->cracy	theocratic	theocracy	relating to
grapher->graphy	autobiographer	autobiography	one who works in
grapher->graphy	bibliographer	bibliography	one who works in
grapher->graphy	biographer	biography	one who works in
grapher->graphy	calligrapher	calligraphy	one who works in
grapher->graphy	cartographer	cartography	one who works in
grapher->graphy	choreographer	choreography	one who works in
grapher->graphy	cinematographer	cinematography	one who works in
grapher->graphy	cosmographer	cosmography	one who works in
grapher->graphy	cryptographer	cryptography	one who works in
grapher->graphy	crystallographer	crystallography	one who works in
grapher->graphy	demographer	demography	one who works in
grapher->graphy	ethnographer	ethnography	one who works in
grapher->graphy	geographer	geography	one who works in
grapher->graphy	hagiographer	hagiography	one who works in
grapher->graphy	historiographer	historiography	one who works in
grapher->graphy	lexicographer	lexicography	one who works in
grapher->graphy	lithographer	lithography	one who works in
grapher->graphy	oceanographer	oceanography	one who works in
grapher->graphy	paleographer	paleography	one who works in
grapher->graphy	photographer	photography	one who works in
grapher->graphy	pornographer	pornography	one who works in
grapher->graphy	pyrographer	pyrography	one who works in
grapher->graphy	radiographer	radiography	one who works in
grapher->graphy	stenographer	stenography	one who works in
grapher->graphy	telegrapher	telegraphy	one who works in
grapher->graphy	typographer	typography	one who works in
graphic->graphy	anemographic	anemography	relating to
graphic->graphy	autobiographic	autobiography	relating to
graphic->graphy	autoradiographic	autoradiography	relating to
graphic->graphy	bibliographic	bibliography	relating to
graphic->graphy	biogeographic	biogeography	relating to
graphic->graphy	biographic	biography	relating to
graphic->graphy	calligraphic	calligraphy	relating to
graphic->graphy	cardiographic	cardiography	relating to
graphic->graphy	cartographic	cartography	relating to
graphic->graphy	choreographic	choreography	relating to
